title,time,origin,author,article,latitude,longitude
永嘉港航推进美丽渡口创建工作,时间：2017-12-29,来源：市港航局,作者： 徐建鹏,??? 为推进最美港航建设，落实最美创建工作，12月27日下午，永嘉县港航管理局徐李喜局长带队开展美丽渡口创建检查工作。??? 检查组一行来到龙桥码头，实地查看了龙桥码头的美丽渡口创建进展工作，并听取了永嘉县交通运输公司对“美丽渡口”创建工作开展情况的汇报。随后，检查组在码头站长室召开了推进美丽渡口创建座谈会。会上，徐李喜局长对龙桥码头前期工作和当前工作表示肯定，并指出，要针对后续工作制定方案，利用现有资源，积极探索，推进美丽渡口建设；要规范管理制度，加强码头管理，在设施设备更新的同时，要注重服务意识和企业文化的提升，做到工作人员统一着装、佩戴安全臂章、持证上岗，增强主体责任意识；要严抓安全生产工作，完善安全设施，尤其趸船前沿要增设防护栏，降低安全隐患，保证旅客出行安全，提高出行便利。,19.4206657,-152.6093
温州市交通运输局检查考核瓯海年度农村公路工作,时间：2017-12-29,来源：  温州市公路局  瓯海区交通运输局,作者： 卢慧雯,?? 12月27日下午，温州市交通运输局建设处处长黄国岳带队赴瓯海区对农村公路建设与养护工程的实施情况进行核查评分。瓯海区交通运输局局长金声众及区公路局相关领导陪同。,19.4206657,-152.6093
温州市运管局徐和光副局长带队开展物流行业调研,时间：2017-12-29,来源：温州市运管局,作者： 李阳,??? 近日，温州市道路运输管理局徐和光副局长携货运物流处和行政审批处负责人到瓯海物流商会和温州传化公路港进行调研。??? 在瓯海物流商会的座谈会上，商会负责人汇报了商会的基本情况，企业代表就各自发展过程中存在的问题以及对行业管理部门的建议进行了交流。随后，徐和光副局长一行还参观了温州传化公路港，温州传化公路港负责人向调研组一行详细介绍了传化公路港的发展历程、园区整体布局和整体规划，通过信息化和物流生态圈两个维度，为周边上下游企业提供供应链“一单到底”服务作了小结和展望。??? 在听取汇报后，徐和光副局长充分肯定了传化公路港的发展理念和成果，他指出，物流和人民群众的生活息息相关，物流成本占GDP的比重已成为衡量一个地区物流业发展水平的重要指标。目前，温州物流业还处于传统物流阶段，公路物流仍占大头，公路运输成本是铁路运输的10倍，水路运输的25倍，造成温州市综合物流成本居高不下。所以温州物流产业要驶入新的快车道，必须要实现港口物流、铁路物流、公路物流、航空物流的多式联动、无缝对接，加快形成一单到底、多式联运、高效运转的现代物流体系，进一步降低企业物流成本，全面提升物流行业服务能力和水平。,19.4206657,-152.6093
瑞安市交通运输局副局长欧阳世国一行赴陶山镇指导小城镇环境综合整治迎检工作,时间：2017-12-29,来源：瑞安市交通运输局,作者：钱永明,?? ?12月25日下午，瑞安市交通运输局副局长欧阳世国带领局机关安全运输科、市公路局黄其晓副局长、路政四中队负责人等到陶山镇指导迎检工作。??? 欧阳世国一行听取了镇党委陈阿朋书记、分管副镇长等负责人对迎检准备情况的介绍，特别是就交通运输系统方面的意见和建议。欧阳世国副局长就陶山镇提出的如陶山客运站、五联驾校、出租车管理、黑车管控、公交站台卫生、集镇道路卫生和路边卖甘蔗摊乱搭盖等情况交换了意见。最后，指导组一行检查了陶马线环境卫生、陶山客运站和五联驾校，并现场提出整改意见，要求公路局、运管局、长途运输公司、城乡公交公司抓好问题整改，全力以赴协助迎检准备工作，确保陶山镇顺利通过小城镇环境综合整治验收。,19.4206657,-152.6093
乐清市交通运输局局长张金财督查乐清市万柳线盐盆段改造工程,时间：2017-12-29,来源：乐清市交通运输局,作者：  陈穆仙,??? 12月26日下午，乐清市交通运输局局长张金财督查乐清市万柳线盐盆段改造工程，项目负责人蔡肖炜陪同督查。??? 乐清市万柳线盐盆段改造工程起点为盐盆街道东岙村乌牛岭山万柳线（K1+200）处，终点位于盐盆街道盐盆村，与市中心大道转盘相接，路线全长约1.6公里，设计车道为双向6车道，设计时速60公里/小时。工程总投资9026.33万元。目前，山体开挖工程已完成施工便道铺设、安全防护设施搭设和东侧山体清表工作。主线工程正在进行二次清表和土工布的铺设，为下一步的路基填筑工作做好准备。??? 张金财局长实地踏勘了工程现场，听取了关于该项目进展情况、存在困难和下一步计划的汇报，现场督办施工单位提出的问题。他强调，要认真贯彻落实林亦俊书记在12月21日督查现代综合交通建设时提出的要求，加快工程进度，确保工程按时按质完成。,19.4206657,-152.6093
温州市交通质监局对104国道西过境改建工程（瓯海段）进行监督交底,时间：2017-12-27,来源：温州市交通工程质量监督局,作者： 黄锦樘,??? 12月25日，温州市交通质监局对104国道温州西过境永嘉张堡至瓯海桐岭段改建工程（瓯海段）进行监督交底。参加交底会议的有业主、设计、监理、施工等单位共30余人。??? 交底会上，监督人员通过PPT的形式，就质量和安全监督、合同与造价管理、监理与试验检测行业管理、质安文化进工地等方面结合工程实际特点和工程建设的相关要求进行了监督交底。??? 104国道温州西过境永嘉张堡至瓯海桐岭段改建工程（瓯海段）采用双向六车道一级工程技术标准，设计时速80km/h，并且兼顾市政功能。路线全长3.709km，大桥有2座，隧道0.5座，立交1座，总投资8.6亿，工期26个月。,19.4206657,-152.6093
S230（57省道）瑞安宁益至龙湖段改建工程二标检测方案通过审查,时间：2017-12-27,来源：温州市交通工程质量监督局,作者： 陈建伟,?? ?12月21日，瑞安市交通工程建设办公室在瑞安市组织召开了S230（57省道）瑞安宁益至龙湖段改建工程（第二施工标段）交、竣工质量评定检测方案专家审查会议、参加会议的有瑞安市交通运输局，市交通质监站，设计、监理、施工等单位的代表以及特邀专家。,19.4206657,-152.6093
G322文成樟台至龙川段举行消防应急救援演练,时间：2017-12-27,来源：温州市交通工程质量监督局  文成县交通运输局,字号：[ 大 中 小 ],??? 为切实提高G322（56省道）文成樟台至龙川段改建工程参建人员的消防意识，检验参建人员及消防应急组织应对火灾的能力，12月21日，G322（56省道）文成樟台至龙川段改建工程项目经理部在项目部预制场举行了消防应急救援演练。文成县交通运输局、文成县公安消防局、文成县医疗机构、浙江省大成建设集团公司相关领导到场指导并作现场讲话。 随着总指挥一声令下，演练正式开始。,19.4206657,-152.6093
57省道复线绿化提升工程加紧施工,时间：2017-12-27,来源：温州市公路局,作者：章婷婷,??? 近日，57省道复线绿化提升工程正在加紧施工。??? 据了解，麻步二桥驿站公园和渔塘驿站公园是57省道复线绿化工程的一部分，均占地10000多平方米，包括厕所、休息走廊、停车场等配套设施，两个驿站公园总投资900万元，预计明年年初完工。??? “该项目工程建成后，能够为驾驶员和沿线居民提供一个休息、休闲的好场所。”平阳县交通绿化工程建设指挥部相关负责人介绍，为全力推动57省道复线冲刺省级精品示范路，今年7月，57省道复线绿化提升工程开工建设。??? 据统计，57省道复线绿化提升工程主要包括路口绿化提升5000平方米，富余地绿化提升10.4万平方米，路基两侧绿化带5000平方米，沿线边坡覆绿10000平方米，总投资达3903万元。为加快建设速度，平阳县专门成立工作领导小组，积极与各有关乡镇进行项目、土地对接，仅用一个月的时间，就完成了全部沿线镇乡土地征用、租用手续，完成立项、施工图评审等工作。,19.4206657,-152.6093
温州公交开通银联卡移动支付功能,时间：2017-12-27,来源：温州市运管局,作者：钱为,?? 近日，温州智慧公交移动支付再度升级，即将全线开通银联卡移动支付功能。目前，温州快速公交BRT1号线35处站台智慧支付（即银联卡移动支付）设备已升级上线，温州本地市民及各地游客只要使用境内外任一银行发行的“62”开头的银联金融IC卡或者银联手机闪付，在公交一体化支付终端前挥一挥，即可购票乘车。据悉，其他公交线路将在春节前陆续更换售票终端设备，全面开通银联卡和银联手机闪付功能。??? 开通公交移动支付是今年温州建设智慧交通的新举措之一。为完善智慧公交建设，温州运管积极利用智能化手段，不断推进公交移动支付。10月25日，温州市区BRT公交移动支付功能（支付宝乘车码）正式上线，并在35条公交线路434辆公交车上迅速铺开。时隔两个月，银联卡支付功能开始使用，再次拓宽移动支付渠道。可以预见，微信支付、带有智能终端的手表或手环等其他移动支付方式也指日可待。??? 公交移动支付，为温州地区“移动互联网+公共服务”提供了一种全新模式，为温州城市信息化建设开辟了新路径，更有利于推进智慧温州的城市建设，使社会公众的消费更便捷、出行更通畅、支付更安全、生活更智能。,19.4206657,-152.6093
瑞安市运管局举行维尔智慧驾培管理服务系统技术培训,时间：2017-12-27,来源：温州市运管局,作者： 周翔,?? 12月21日，瑞安市运管局举行了维尔智慧驾培管理服务系统技术培训。该局机动服务管理科、稽查安全科，全体一线稽查人员参加了此次培训。??? 维尔公司专业技术人员首先对瑞安市运管局将启用的全新升级的驾培系统作了详细地介绍。升级后的学时系统将更加真实有效地记录培训学时，并结合公安部门的管理数据从源头注册准入、中间总量控制、结尾结业准予三个环节层层把控驾培监督管理，从而防止驾校超量招生有效，杜绝培训学时不足及造假等现象。??? 该新系统的应用将有效助推瑞安市驾培数字化稽查和非现场执法。一方面稽查人员可通过系统的指纹识别和图像抓拍技术核实学员培训情况，对9分钟便自动报送一张抓拍的图片进行对比，识别教练员离岗，学时造假和学时无效等教练员违规操作问题。另一方面通过对GPS动态监控、无线实时数据传输终端技术就能实现管理人员对驾校培训情况的实时动态掌握和轨迹状况的实时分析，及时发现教练车不在训练场地或者篡改科目二和科目三的学时的等违规现象。最后，新系统还安装了车载OBD防拆计时设备，通过设置的OBD动态密钥功能实现防拆，提供防拆自销毁功能，一旦拆除或损坏车载计时设备，培训将即刻停止计时，从而杜绝出现教练员私拆驾培计时终端的违规行为。??? 通过对新一代驾培管理服务系统的应用操作学习，提高了工作人员的科学技术应用水平，同时也加强了瑞安市运管局非现场执法的稽查力量，从而实现驾驶培训行业规范化、科学化、信息化的管理。,19.4206657,-152.6093
瑞安市公路管理局全力做好公路边沟清理工作,时间：2017-12-27,来源：温州市公路局,作者： 陈青化 钱乐乐,??? 近期，为提升路域环境整体质量，确保辖区公路两侧边沟排水畅通，瑞安公路局养护站积极组织人员对边沟进行排查，针对存在石块、草木、垃圾等较多的边沟及时进行全面清扫清理工作。??? 此次工作主要针对瑞枫公路两侧边沟，瑞安公路局合理调配人力、物力，组织挖掘机等车辆，每天出动20多人对边沟堵塞处、路肩、内外边坡等进行清理，在做好白色垃圾、废弃物等的清理工作的同时，重点对入冬以来积聚在边沟内的枯枝败叶进行集中清扫清运，有效降低边沟内越冬虫卵数量及引发火灾风险，提高边沟排水能力并提升路域环境质量。??? 接下来，瑞安公路局将继续排查边沟，针对排水不畅、沟底淤泥堆积等现象及时处理，同时做好104国道、瑞枫公路、山区道路等公路边沟常态管理，确保辖区边沟排水畅通。,19.4206657,-152.6093
G15高速平阳段平阳互通获评市级“最美入城口”,时间：2017-12-27,来源：温州市公路局,作者：章婷婷,??? 日前，G15高速平阳段平阳互通被评为市级“最美入城口”。??? 在该高速出口处，可以领略“最美入城口”的美丽，平阳互通周边原本草木稀疏、边坡荒芜的景象已然不见，草坪、灌木、小叶楠、香樟、水杉等映入眼帘，美不胜收。收费口既有点缀景石花镜的丰富景观，又有展示城市气息的高楼规划。??? 平阳县通过地形堆坡造型，在2.7万平方米的互通中心区以大面积的草坪和灌木为主，配置色叶开花小乔木组团，灌木以流畅的曲线和图案的形式进行设计，营造高低错落的视觉景观；在公路两侧4.4万平方米的边坡上，依据平阳县亚热带常绿阔叶林的植物地域属性，引入、栽种了小叶楠、香樟、水杉、金桂、红千层等大量乡土树种，以及红楠、浙江楠、天竺桂等珍贵树种。远远望去，青山上一块块花团锦簇；高空俯瞰，犹如彩色珍珠串连成线，使道路景观从“绿化”到“彩化”纵深推进。??? 同时，重新设计的高速出口两侧整体绿化布置疏密有致，组团造景明确、简洁、实用，与左侧新104国道绿化带相得益彰，形成富有冲击力的视廊脉络，将“洁化、美化、绿化、亮化、畅化、文化”体现的淋漓尽致。??? 今年，平阳县将G15高速平阳段平阳互通出口作为作为省级精品示范入城口进行创建提升，以“种下一片植物，收获一座城市”为主题，投入795万元实施绿化提升工程，着力打造生态示范的最美入城口。,19.4206657,-152.6093
乐清市交通运输局局长张金财调研智慧公交建设情况,时间：2017-12-27,来源：乐清市交通运输局,作者： 李婷婷,?? ?12月25日下午，乐清市交通运输局局长张金财率运输科、运输集团、城市公交调研智慧公交建设情况，张立中副 局长陪同调研。,19.4206657,-152.6093
